Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,21,Brazil,5510,Production,687,Pepper (piper spp.),2013,2013,tonnes,42312,,Official data
QC,Crops,21,Brazil,5510,Production,687,Pepper (piper spp.),2014,2014,tonnes,42339,,Official data
QC,Crops,21,Brazil,5510,Production,587,Persimmons,2010,2010,tonnes,167215,,Official data
QC,Crops,21,Brazil,5510,Production,587,Persimmons,2011,2011,tonnes,154625,,Official data
QC,Crops,21,Brazil,5510,Production,587,Persimmons,2012,2012,tonnes,158241,,Official data
QC,Crops,21,Brazil,5510,Production,587,Persimmons,2013,2013,tonnes,173169,,Official data
QC,Crops,21,Brazil,5510,Production,587,Persimmons,2014,2014,tonnes,182290,,Official data
QC,Crops,21,Brazil,5510,Production,574,Pineapples,2010,2010,tonnes,2205586,,Official data
QC,Crops,21,Brazil,5510,Production,574,Pineapples,2011,2011,tonnes,2365455,,Official data
QC,Crops,21,Brazil,5510,Production,574,Pineapples,2012,2012,tonnes,2546601,,Official data
QC,Crops,21,Brazil,5510,Production,574,Pineapples,2013,2013,tonnes,2483831,,Official data
QC,Crops,21,Brazil,5510,Production,574,Pineapples,2014,2014,tonnes,2646243,,Official data
QC,Crops,21,Brazil,5510,Production,116,Potatoes,2010,2010,tonnes,3547510,,Official data
QC,Crops,21,Brazil,5510,Production,116,Potatoes,2011,2011,tonnes,3917234,,Official data
QC,Crops,21,Brazil,5510,Production,116,Potatoes,2012,2012,tonnes,3731798,,Official data
QC,Crops,21,Brazil,5510,Production,116,Potatoes,2013,2013,tonnes,3553772,,Official data
QC,Crops,21,Brazil,5510,Production,116,Potatoes,2014,2014,tonnes,3689836,,Official data
QC,Crops,21,Brazil,5510,Production,754,"Pyrethrum, dried",2010,2010,tonnes,,M,Data not available
QC,Crops,21,Brazil,5510,Production,754,"Pyrethrum, dried",2011,2011,tonnes,,M,Data not available
QC,Crops,21,Brazil,5510,Production,754,"Pyrethrum, dried",2012,2012,tonnes,,M,Data not available
QC,Crops,21,Brazil,5510,Production,754,"Pyrethrum, dried",2013,2013,tonnes,,M,Data not available
QC,Crops,21,Brazil,5510,Production,754,"Pyrethrum, dried",2014,2014,tonnes,,M,Data not available
QC,Crops,21,Brazil,5510,Production,523,Quinces,2010,2010,tonnes,964,,Official data
QC,Crops,21,Brazil,5510,Production,523,Quinces,2011,2011,tonnes,780,,Official data
QC,Crops,21,Brazil,5510,Production,523,Quinces,2012,2012,tonnes,704,,Official data
QC,Crops,21,Brazil,5510,Production,523,Quinces,2013,2013,tonnes,633,,Official data
QC,Crops,21,Brazil,5510,Production,523,Quinces,2014,2014,tonnes,570,,Official data
QC,Crops,21,Brazil,5510,Production,788,Ramie,2010,2010,tonnes,831,,Official data
